# priority	category	doc	page_or_range	oracle_vs_ours	symptom	primary_files	guard_docs	visual_artifacts	fast_validation	acceptance
1	image-float-guard	med_02____2_4MB	page-03	6/6	resolved in current accepted renderer state: no-crop review shows 실험결과 table visible; keep as guard for scanned-photo float regressions	src/renderer/typeset.rs;src/renderer/layout/picture_footnote.rs;src/renderer/layout/shape_layout.rs	wc47_6pg,wc51_4pg,wild_02_paper_fig_10MB	/tmp/diff/_review_med_02____2_4MB_live/index.html;/tmp/diff/_review_med_02____2_4MB_live/med_02____2_4MB/page-03.png	python3 harness/review_gallery.py /tmp/diff/_review_med_02____2_4MB_live med_02____2_4MB --export-current; bash harness/focus_gate.sh quick --build; bash harness/gate.sh --no-build; python3 scripts/check_renderer_overfit.py	"실험결과" table remains visible on page 3; page count stays 6/6; no new float-doc regression
1	image-float	wild_02_paper_fig_10MB	page-01	9/7	large figure/text overlap plus multi-column collapse; broader P1 follow-up after scanned-photo rule	src/renderer/typeset.rs;src/renderer/layout/picture_footnote.rs;src/renderer/layout/shape_layout.rs;src/renderer/float_placement.rs	wc47_6pg,wc51_4pg,wc69_9pg,wc04_4pg,wb03_physics_lab_2pg	/tmp/diff/_gallery3/wild_02_paper_fig_10MB/index.html;/tmp/diff/_gallery3/wild_02_paper_fig_10MB/page-01.png;/tmp/diff/_gallery3/wild_02_paper_fig_10MB/page-09.png	bash harness/focus_gate.sh quick --build; bash harness/gate.sh --no-build; python3 scripts/check_renderer_overfit.py	overlap/content loss reduced without worsening multi-column flow; page count moves toward oracle; changed docs are float-heavy and visually checked
2	stale-vpos	form_07_______________41KB	pages-09-12	11/12	rhwp trusts empty spacer vpos near page bottom; p10 under-filled; next table orphaned	src/renderer/typeset.rs;src/renderer/layout/paragraph_layout.rs;src/renderer/height_cursor.rs	form_24_____4MB,form_25__________________6MB,huge_01_DNA________33MB,huge_02_DNA_______75MB	/tmp/diff/_gallery3/form_07_______________41KB/index.html;/tmp/diff/_gallery3/form_07_______________41KB/page-09.png;/tmp/diff/_gallery3/form_07_______________41KB/page-10.png;/tmp/diff/_gallery3/form_07_______________41KB/page-11.png;/tmp/diff/_gallery3/form_07_______________41KB/page-12.png	bash harness/focus_gate.sh quick --build; bash harness/gate.sh --no-build; python3 scripts/check_renderer_overfit.py	p10 forward-packs following table like Hancom; no cached-lineseg broad regression
2	stale-vpos	wc15_7pg	full-doc	7/6	likely stale-cache/line-metric under-pagination	src/renderer/typeset.rs;src/renderer/layout/paragraph_layout.rs	wc16_6pg,wc17_6pg,wc31_17pg,wc14_13pg	/tmp/diff/_gallery3/wc15_7pg/index.html;/tmp/diff/_gallery3/wc15_7pg/page-06.png;/tmp/diff/_gallery3/wc15_7pg/page-07.png;/tmp/diff/_gallery3/wc15_7pg/page-08.png	bash harness/focus_gate.sh quick --build; bash harness/gate.sh --no-build; python3 scripts/check_renderer_overfit.py	page count moves toward oracle without regressing sibling stale-cache docs
2	stale-vpos	wc16_6pg	full-doc	6/5	likely stale-cache/line-metric under-pagination	src/renderer/typeset.rs;src/renderer/layout/paragraph_layout.rs	wc15_7pg,wc17_6pg,wc31_17pg,wc14_13pg	/tmp/diff/_gallery3/wc16_6pg/index.html;/tmp/diff/_gallery3/wc16_6pg/page-05.png;/tmp/diff/_gallery3/wc16_6pg/page-06.png;/tmp/diff/_gallery3/wc16_6pg/page-07.png	bash harness/focus_gate.sh quick --build; bash harness/gate.sh --no-build; python3 scripts/check_renderer_overfit.py	page count moves toward oracle without regressing sibling stale-cache docs
2	stale-vpos	wc17_6pg	full-doc	6/5	likely stale-cache/line-metric under-pagination	src/renderer/typeset.rs;src/renderer/layout/paragraph_layout.rs	wc15_7pg,wc16_6pg,wc31_17pg,wc14_13pg	/tmp/diff/_gallery3/wc17_6pg/index.html;/tmp/diff/_gallery3/wc17_6pg/page-05.png;/tmp/diff/_gallery3/wc17_6pg/page-06.png;/tmp/diff/_gallery3/wc17_6pg/page-07.png	bash harness/focus_gate.sh quick --build; bash harness/gate.sh --no-build; python3 scripts/check_renderer_overfit.py	page count moves toward oracle without regressing sibling stale-cache docs
2	embedded-scan-title	wc31_17pg	pages-05-09	17/13	embedded scanned page images and 1x3 evidence/title tables share or cross paragraphs; RHWP overlays the next title on the prior embedded page image and skips standalone title pages	src/renderer/typeset.rs;src/renderer/layout.rs;src/renderer/layout/picture_footnote.rs;src/renderer/layout/table_layout.rs	wc15_7pg,wc16_6pg,wc17_6pg,wc14_13pg,wild_02_paper_fig_10MB	/tmp/diff/_review_wc31_current_after_revert/index.html;/tmp/diff/_review_wc31_current_after_revert/wc31_17pg/page-05.png;/tmp/diff/_review_wc31_current_after_revert/wc31_17pg/page-06.png;/tmp/diff/_review_wc31_current_after_revert/wc31_17pg/page-07.png;/tmp/diff/_review_wc31_current_after_revert/wc31_17pg/page-08.png;/tmp/diff/_review_wc31_current_after_revert/wc31_17pg/page-09.png	python3 harness/embedded_scan_title_diag.py /tmp/diff/wc31_17pg/source.hwpx; python3 harness/embedded_scan_title_diag.py --corpus /tmp/diff --limit 30; bash harness/focus_gate.sh quick --build; bash harness/gate.sh --no-build; python3 scripts/check_renderer_overfit.py	page ownership improves without blank pages: image4 page-body remains page 5, 증빙 1 title/report body begins page 6, standalone 증빙 2/3 title pages appear in order; no page-relative picture or stale-vpos guard regression
2	stale-vpos	wc35_15pg	pages-01,14	15/16	Square float/empty-para line-metric residual; later logical content drift	src/renderer/typeset.rs;src/renderer/layout/paragraph_layout.rs;src/renderer/float_placement.rs	wc39_14pg,wc47_6pg,wc51_4pg	/tmp/diff/_gallery3/wc35_15pg/index.html;/tmp/diff/_gallery3/wc35_15pg/page-01.png;/tmp/diff/_gallery3/wc35_15pg/page-14.png	bash harness/focus_gate.sh quick --build; bash harness/gate.sh --no-build; python3 scripts/check_renderer_overfit.py	residual +1 removed or reduced; no Square-float guard regression
3	table-fit	accountability_eval	full-doc	staged=6/6;fitted=11/11	page count is current-pass for both staged and fitted sources; remaining defect is table-cell visual fidelity: RHWP composes denser/smaller cell text than Hancom, producing line-count and spacing drift inside the large 38x9 accountability table	src/renderer/height_measurer.rs;src/renderer/layout/table_layout.rs;src/renderer/layout/table_partial.rs;src/renderer/layout/paragraph_layout.rs;factchat/utils/hwpx_layout_fitter.py	form_24_____4MB,form_25__________________6MB,large_01_____________16MB	/tmp/diff/accountability_eval/look/page-01.png;/tmp/diff/accountability_eval/look/page-04.png;/tmp/diff/accountability_eval/look/page-05.png;/tmp/diff/accountability_eval_fitted_oracle/look/page-01.png;/tmp/diff/accountability_eval_fitted_oracle/look/page-05.png;/tmp/diff/accountability_eval_fitted_oracle/look/page-06.png;/tmp/diff/accountability_eval_fitted_oracle/look/page-11.png;/tmp/diff/_gallery3/form_25__________________6MB/index.html;/tmp/diff/_gallery3/form_25__________________6MB/page-01.png	bash harness/focus_gate.sh quick --build; bash harness/gate.sh --no-build; python3 scripts/check_renderer_overfit.py; Hancom-rerender/reopen fitted HWPX	keep source/oracle distinction explicit; do not chase page count unless it regresses; next work is table-cell typography/composition and row-internal line density against table-heavy guards
3	table-fit	large_01_____________16MB	slip-pages-p15,p19	39/37	cell/table-row height/cache divergence; high-blast and slow	src/renderer/height_measurer.rs;src/renderer/layout/table_layout.rs;src/renderer/typeset.rs	form_24_____4MB,form_25__________________6MB,huge_01_DNA________33MB,huge_02_DNA_______75MB	/tmp/diff/large_01_____________16MB/look/page-15.png;/tmp/diff/large_01_____________16MB/look/page-19.png;/tmp/diff/_gallery3/form_25__________________6MB/page-01.png	bash harness/gate.sh --no-build; python3 scripts/check_renderer_overfit.py	only supervised; visual sweep required on every changed table-heavy doc
4	export-reopen	export_roundtrip_probe	hard-cases	HWPX viable; HWP unsafe	HWP magic bytes not enough; reload exported file to prove validity	hwp-agent-spike/tests/export_roundtrip_probe.mjs;hwp-agent-spike/tests/CORPUS_VALIDATION.md	15_007p_active_admin_stress,61_stress_science_advice,62_stress_college_meeting,63_stress_dna_archaeology	hwp-agent-spike/tests/CORPUS_VALIDATION.md;hwp-agent-spike/tests/export_roundtrip_probe.mjs	HWP_TEST_URL=http://127.0.0.1:8765/ node hwp-agent-spike/tests/export_roundtrip_probe.mjs	HWPX exported mutation reopens in Hancom; HWP export enabled only by doc-class gate
